Layer,계약연도,시도,시군구,신용정보,전자압류,EGS,계약유형_계약여부,신용정보(\),전자압류(\),EGS (\),합계,지방세,세외수입,기타,부서_계약여부
B,2026,경상북도,고령군,1,1,0,1,1760,1100,0,2860,1,0,0,1
B,2026,경상북도,울진군,1,0,0,1,2640,,0,2640,1,0,0,1
B,2026,경상남도,진주시,1,1,0,1,3960,4400,0,8360,1,0,0,1
B,2026,경상남도,사천시,1,1,0,1,5280,5500,0,10780,1,0,0,1
B,2026,경상남도,김해시,1,1,1,1,3960,5500,18040,27500,1,0,0,1
B,2026,경상남도,밀양시,1,1,1,1,3960,1100,18040,23100,1,0,0,1
B,2026,경상남도,거제시,1,1,0,1,3960,6600,0,10560,1,0,0,1
B,2026,경상남도,양산시,1,1,1,1,3960,3300,18040,25300,1,0,0,1
B,2026,경상남도,창원시,1,1,1,1,10560,6600,30000,47160,1,0,0,1
B,2026,경상남도,의령군,1,0,0,1,2640,,0,2640,1,0,0,1
B,2026,경상남도,함안군,1,1,0,1,2640,1100,0,3740,1,0,0,1
B,2026,경상남도,창녕군,1,0,0,1,2640,,0,2640,1,0,0,1
B,2026,경상남도,고성군,1,1,0,1,2640,8800,0,11440,1,0,0,1
B,2026,경상남도,남해군,1,0,1,1,3960,,25520,29480,1,0,0,1
B,2026,경상남도,하동군,1,1,0,1,2640,6600,0,9240,1,0,0,1
B,2026,경상남도,산청군,1,1,1,1,2640,1100,12760,16500,1,0,0,1
B,2026,경상남도,거창군,1,1,1,1,1320,1100,12760,15180,1,0,0,1
B,2026,경상남도,합천군,1,1,1,1,2640,1100,12760,16500,1,0,0,1
B,2026,제주도,서귀포시,0,0,1,1,,,5060,5060,1,0,0,1
B,2026,경기도,안양시,1,1,0,1,2640,1100,0,3740,0,0,1,1
B,2026,경기도,안양시,1,1,0,1,1320,1100,0,2420,0,0,1,1
B,2026,경기도,평택시,1,1,1,1,2640,6600,12760,22000,0,0,1,1
B,2026,경기도,시흥시,1,0,0,1,2640,,0,2640,0,0,1,1
B,2026,경기도,의왕시,1,1,0,1,2640,1100,0,3740,0,0,1,1
B,2026,경기도,용인시,1,1,1,1,3630,9900,15840,29370,0,0,1,1
B,2026,경기도,용인시,1,1,0,1,1320,550,0,1870,0,0,1,1
B,2026,경기도,김포시,1,1,0,1,2640,1860,0,4500,0,0,1,1
B,2026,경기도,양주시,1,1,0,1,2640,4400,0,7040,0,0,1,1
B,2026,충청남도,천안시,1,1,1,1,2640,1100,18040,21780,0,0,1,1
B,2026,경상남도,창원시,1,1,1,1,1584,3300,7260,12144,0,0,1,1
B,2026,경상남도,창원시,1,1,0,1,2640,1100,0,3740,0,0,1,1
B,2026,경상남도,창원시,1,1,0,1,2640,1100,0,3740,0,0,1,1
B,2026,경상남도,창원시,1,1,0,1,2640,1100,0,3740,0,0,1,1
B,2026,경상남도,함안군,1,1,0,1,1980,1100,0,3080,0,0,1,1
A,2026,경기도,경기도,0,0,0,0,0,0,0,0,0,0,0,0
A,2026,강원도,강원도특별자치도,0,0,0,0,0,0,0,0,0,0,0,0
A,2026,충청남도,충청남도,0,0,0,0,0,0,0,0,0,0,0,0
A,2026,전라남도,전라남도,0,0,0,0,0,0,0,0,0,0,0,0
A,2026,경상북도,경상북도,0,0,0,0,0,0,0,0,0,0,0,0
A,2026,경상남도,경상남도,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,부산시,동구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,부산시,부산진구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,부산시,해운대구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,부산시,연제구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,부산시,수영구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,부산시,사상구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,부산시,남구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,대구시,동구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,대구시,중구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,대구시,군위구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,대구시,북구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,대구시,서구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,대구시,남구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,인천시,동구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,울산시,동구,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,경기도,오산시,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,경기도,연천군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,강원도,강릉시,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,강원도,홍천군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,강원도,정선군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,강원도,철원군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,강원도,화천군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,강원도,양구군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,강원도,영월군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,강원도,평창군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,강원도,고성군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,충청북도,진천군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,전라북도,고창군,0,0,0,0,0,0,0,0,0,0,0,0
B,2026,전라북도,진안군,0,0,0,0,0,0,0,0,0,0,0,0
