Layer,계약연도,시도,시군구,지방세,세외수입,기타,계약여부,미체결
B,2026,전라북도,부안군,0,1,0,1,0
B,2026,전라북도,순창군,0,1,0,1,0
B,2026,전라북도,완주군,0,1,0,1,0
B,2026,전라북도,익산시,0,1,0,1,0
B,2026,전라북도,임실군,1,0,0,1,0
B,2026,전라북도,장수군,1,1,0,1,0
B,2026,전라북도,전주시,1,1,0,1,0
B,2026,전라북도,정읍시,1,1,0,1,0
B,2026,전라북도,진안군,0,0,0,0,1
B,2026,충청북도,괴산군,1,0,0,1,0
B,2026,충청북도,단양군,1,0,0,1,0
B,2026,충청북도,보은군,1,0,0,1,0
B,2026,충청북도,영동군,1,1,0,1,0
B,2026,충청북도,옥천군,0,1,0,1,0
B,2026,충청북도,음성군,0,1,0,1,0
B,2026,충청북도,제천시,1,1,0,1,0
B,2026,충청북도,증평군,1,1,0,1,0
B,2026,충청북도,진천군,0,0,0,0,1
B,2026,충청북도,충주시,1,1,0,1,0
B,2026,충청남도,계룡시,1,1,0,1,0
B,2026,충청남도,공주시,1,1,0,1,0
B,2026,충청남도,금산군,1,1,0,1,0
B,2026,충청남도,논산시,1,1,0,1,0
B,2026,충청남도,당진시,2,1,0,1,0
B,2026,충청남도,보령시,0,1,0,1,0
B,2026,충청남도,부여군,1,0,0,1,0
B,2026,충청남도,서산시,1,1,0,1,0
B,2026,충청남도,서천군,1,0,0,1,0
B,2026,충청남도,아산시,1,1,0,1,0
B,2026,충청남도,예산군,1,0,0,1,0
B,2026,충청남도,천안시,1,1,1,1,0
B,2026,충청남도,청양군,1,0,0,1,0
B,2026,충청남도,태안군,1,0,0,1,0
B,2026,충청남도,홍성군,0,1,0,1,0
